
  Obs   T  CUMSALES      PREDICTED          RESID
-----  --  --------  -------------  -------------
    1   1         1   0.2157917705  -0.7842082295
    2   2      1.31    0.645935297   -0.664064703
    3   3      1.87   1.4701205113  -0.3998794887
    4   4      3.16   2.9360635308  -0.2239364692
    5   5      5.12   5.2284676439   0.1084676439
    6   6       7.6   8.1792069943   0.5792069943
    7   7     10.69  11.1544194561   0.4644194561
    8   8     14.44  13.5001215831  -0.9398784169
    9   9     15.23  15.0161628458  -0.2138371542
   10  10     16.13   15.874072615   -0.255927385
   11  11     16.23  16.3234181868   0.0934181868
   12  12     16.29  16.5492585043   0.2592585043
   13  13     16.33  16.6604123821   0.3304123821

