
  Obs   T  CUMSALES            XT            YT
-----  --  --------  ------------  ------------
    1   1         1             0             0
    2   2      1.31  0.0833333333  0.0202217873
    3   3      1.87  0.1666666667  0.0567514677
    4   4      3.16          0.25  0.1409001957
    5   5      5.12  0.3333333333   0.268754077
    6   6       7.6  0.4166666667  0.4305283757
    7   7     10.69           0.5  0.6320939335
    8   8     14.44  0.5833333333  0.8767123288
    9   9     15.23  0.6666666667  0.9282452707
   10  10     16.13          0.75  0.9869536856
   11  11     16.23  0.8333333333  0.9934768428
   12  12     16.29  0.9166666667  0.9973907371
   13  13     16.33             1             1

