
  Obs   T  CUMSALES        PORG       RESID           MSE
-----  --  --------  ----------  ----------  ------------
    1   1         1           1           0  0.1040796371
    2   2      1.31   1.0433839  -0.2666161  0.1040796371
    3   3      1.87    1.492093   -0.377907  0.1040796371
    4   4      3.16   2.7991288  -0.3608712  0.1040796371
    5   5      5.12   5.0803861  -0.0396139  0.1040796371
    6   6       7.6   8.0352436   0.4352436  0.1040796371
    7   7     10.69  11.0883664   0.3983664  0.1040796371
    8   8     14.44  13.6371322  -0.8028678  0.1040796371
    9   9     15.23  15.3036565   0.0736565  0.1040796371
   10  10     16.13   16.086253   -0.043747  0.1040796371
   11  11     16.23   16.305472    0.075472  0.1040796371
   12  12     16.29  16.3296934   0.0396934  0.1040796371
   13  13     16.33       16.33           0  0.1040796371

